time,scramble
19.77,U D2 R' B' R2 L D F' L' B D2 F2 U2 D' B2 U B2 R2 U2 Fw' 
DNF(19.20),R' U2 F L2 U2 R2 D2 B' R2 B' R2 F2 D' R' U B L2 D' R B Rw Uw' 
14.85,F' D B2 U' L2 R2 U' L2 B2 D2 B2 D' L' D L2 R' F U' B2 D F2 Fw 
DNF(14.86),B2 R' D2 U2 B2 R' F2 D2 L' B2 R2 B D' B F D2 R' U' L' R2 Fw' Uw 
16.41,B2 R2 D B2 R2 U L2 R2 U' F2 L' U B2 R F U2 R Uw 
DNF(16.31),R F' R2 B D2 B D2 F R2 F2 L2 B2 U L2 F R D' U2 B2 U Rw Uw' 
18.00,B2 R' B2 R' F2 L' B2 L' D2 L F2 R F D L' B2 F L2 B2 U' Fw' Uw 
14.92,R' D R U2 L2 F2 U2 L2 F2 D2 L B2 R' D2 F' U F' U2 B L' R2 Rw' Uw2 
13.83,R' B' R2 B2 F U2 B2 U2 R2 D2 F D2 B2 U F D' B' L' R' F' R2 Rw' Uw 
DNF(20.39),R2 D2 F' R2 U' R2 D F2 R2 U' B2 U' B2 R U2 B2 D L' B' R' Rw' Uw2 
15.39+,L B' R F R U' L' D' L' F R' B2 R U2 B2 D2 B2 U2 R2 B2 Fw' Uw' 
14.64,B R U L' B' R U2 D2 B R L2 U2 L2 F2 U2 D F2 B2 D' F2 D Uw' 
16.73,B L2 U' L2 F' L' D' R L2 U D' L2 U' R2 F2 U2 B2 R2 D2 F' Rw' Uw 
DNF(18.44),L' U' B L' F' U' B' U' R B2 U R2 F2 B2 D R2 D B2 U' D2 Uw 
16.58,B' U2 L2 B2 D F2 D' U' R2 U' B2 U' B L2 R B' U2 L' D' Rw' 
DNF(2.11),U' L' R2 U2 F2 R B2 F2 R' B2 R' D2 B2 D B D2 U F' L2 B' R2 Fw Uw2 
16.27+,U F2 U' F D2 R' D2 B' U B2 U2 D F2 D2 B2 R2 B2 U L2 B2 L' Rw2 
DNF(0.03),F' B U' R D' L U' L2 B' L F2 L D2 F2 U2 B2 R2 D2 L' B2 R Fw' 
18.64,L' F2 L' U D2 B' U' L' U' F L2 D2 R2 F' U2 B' L2 B U2 B2 Rw 
DNF(16.29),U D2 B' R' L2 F B' L B U2 F2 R2 F2 B2 D' R2 L2 F2 R2 F2 D2 Fw' 
18.00,L F2 L2 F2 D R2 B2 F2 U L2 D' R2 U' F' L' R2 B' R2 D B' D Rw' 
